counter;start;end;duration in ms
697;104348378723500;104348381962200;3
698;104348420805200;104348423946600;3
699;104348461161900;104348464364600;3
700;104348505737600;104348508914900;3
701;104348547140200;104348550305300;3
702;104348588490200;104348591621600;3
703;104348629672000;104348632801700;3
704;104348668391500;104348671502700;3
705;104348712747300;104348716243800;3
706;104348758610000;104348761710600;3
707;104348799011900;104348802117200;3
708;104348840264400;104348843550300;3
709;104348884676100;104348887927700;3
710;104348926518200;104348929737100;3
711;104348967151700;104348973756900;6
712;104349012828200;104349016093300;3
713;104349054036100;104349057167800;3
714;104349094058000;104349097206900;3
715;104349135734100;104349138967400;3
716;104349176851600;104349180173600;3
717;104349219651400;104349222875500;3
718;104349259731400;104349262878200;3
719;104349300636700;104349303996300;3
720;104349340790700;104349343999800;3
721;104349388972400;104349392517100;3
722;104349430558400;104349433775000;3
723;104349474780800;104349478100800;3
724;104349515657000;104349518805500;3
725;104349558197500;104349561476800;3
726;104349600081600;104349603791400;3
727;104349641001800;104349644208200;3
728;104349684227600;104349687477900;3
729;104349728096200;104349731505600;3
730;104349768820500;104349771934100;3
731;104349809756600;104349813293000;3
732;104349850384100;104349853519400;3
733;104349891973300;104349895148100;3
734;104349933165800;104349936689100;3
735;104349977891200;104349980976500;3
736;104350019990700;104350023314000;3
737;104350061840800;104350065007500;3
738;104350103207500;104350106367400;3
739;104350143608600;104350146887000;3
740;104350184355300;104350187486300;3
741;104350227593000;104350230652000;3
742;104350267283600;104350270618500;3
743;104350313619500;104350316771900;3
744;104350353784600;104350356862500;3
745;104350393801600;104350397058300;3
746;104350434828200;104350438077900;3
747;104350479904500;104350483070800;3
748;104350522376200;104350525678200;3
749;104350568912100;104350573036200;4
750;104350613409500;104350616911100;3
751;104350656708900;104350660083800;3
752;104350701528300;104350704613600;3
753;104350741183500;104350744579600;3
754;104350780479200;104350783554400;3
755;104350821504700;104350825287800;3
756;104350865639000;104350868828300;3
757;104350905164800;104350908375200;3
758;104350948563300;104350951645500;3
759;104350988288000;104350991333900;3
760;104351028345700;104351031731600;3
761;104351067778300;104351070843600;3
762;104351108459300;104351112414900;3
763;104351150826800;104351154454600;3
764;104351194901800;104351198092700;3
765;104351236573400;104351239692600;3
766;104351276357700;104351279604800;3
767;104351319308700;104351322835800;3
768;104351360388700;104351363525500;3
769;104351399982400;104351403251400;3
770;104351439364100;104351446054200;6
771;104351484634700;104351487715400;3
772;104351525996400;104351529252800;3
773;104351567992400;104351571926700;3
774;104351609671800;104351612902000;3
775;104351648260600;104351651378800;3
776;104351688804600;104351695829100;7
777;104351734111900;104351737275600;3
778;104351775183900;104351778380800;3
779;104351817079100;104351820225100;3
780;104351856477400;104351859646600;3
781;104351895658600;104351898896000;3
782;104351939235700;104351942357400;3
783;104351978807100;104351981965800;3
784;104352020519500;104352023721700;3
785;104352061903600;104352065001400;3
786;104352104301100;104352107651700;3
787;104352144186100;104352147337500;3
788;104352186460100;104352190033200;3
789;104352225307300;104352228360400;3
790;104352265373900;104352268476500;3
791;104352305675300;104352308778400;3
792;104352346501900;104352349605000;3
793;104352388184400;104352391329800;3
794;104352431556500;104352439123400;7
795;104352479626100;104352483013900;3
796;104352520700400;104352523859700;3
797;104352562811000;104352566035700;3
798;104352602480400;104352605597400;3
799;104352642902600;104352646026800;3
800;104352685856100;104352689101000;3
801;104352726967100;104352730042400;3
802;104352768439300;104352772895700;4
803;104352812302600;104352815388500;3
804;104352852779800;104352856025200;3
805;104352894172500;104352897557900;3
806;104352938867300;104352941928000;3
807;104352980368000;104352983472700;3
808;104353021597200;104353025105700;3
809;104353063146100;104353066261900;3
810;104353102844200;104353105979700;3
811;104353142486300;104353145691800;3
812;104353185271800;104353188401400;3
813;104353225671600;104353228738900;3
814;104353264398800;104353267475000;3
815;104353305534700;104353309244900;3
816;104353347054400;104353350588800;3
817;104353386739700;104353389816800;3
818;104353426375300;104353432914300;6
819;104353471768300;104353474831700;3
820;104353512521400;104353515572500;3
821;104353554383400;104353557620300;3
822;104353595598600;104353598735900;3
823;104353635560800;104353638697800;3
824;104353679133100;104353682278900;3
825;104353719338700;104353722439500;3
826;104353760217700;104353763486300;3
827;104353806116000;104353809736100;3
828;104353845877700;104353848978500;3
829;104353886805800;104353889946200;3
830;104353930675900;104353933713500;3
831;104353972877800;104353975970400;3
832;104354013282300;104354016752600;3
833;104354054749400;104354057853600;3
834;104354093869000;104354097279000;3
835;104354134761300;104354137911800;3
836;104354178056900;104354181209800;3
837;104354218202600;104354221230400;3
838;104354259321900;104354262495800;3
839;104354299335500;104354302441800;3
840;104354339202400;104354342324400;3
841;104354379652000;104354382780300;3
842;104354421839600;104354424866000;3
843;104354460633700;104354463697700;3
844;104354500925500;104354504071100;3
845;104354540325000;104354543676200;3
846;104354581756900;104354585053500;3
847;104354621097400;104354624298200;3
848;104354663801600;104354666844100;3
849;104354704438600;104354707526600;3
850;104354743850200;104354746947800;3
851;104354783625200;104354786701000;3
852;104354824221500;104354827731400;3
853;104354864329300;104354867441500;3
854;104354904600500;104354911881400;7
855;104354949112400;104354952154900;3
856;104354989329400;104354992560100;3
857;104355029087000;104355032380700;3
858;104355070336600;104355073399000;3
859;104355110809800;104355113952200;3
860;104355150955600;104355157525600;6
861;104355196554900;104355199657000;3
862;104355236038100;104355239136500;3
863;104355276093800;104355279369100;3
864;104355316309800;104355319411400;3
865;1043553
